Neighborhood,Latitude,Longitude
"Aerides, Athens",37.97614000000004,23.73640000000006
"Agios Eleftherios, Athens",38.01997000000006,23.726270000000056
"Agios Panteleimonas, Athens",37.99672000000004,23.727410000000077
Akadimia Platonos,37.990950000000055,23.70718000000005
"Akadimia, Athens",37.98669006939234,23.710910054965638
"Ampelokipoi, Athens",37.99106000000006,23.764290000000074
Anafiotika,37.972240000000056,23.72852000000006
Ano Petralona,37.96948000000003,23.70897000000008
Asteroskopeio,37.974469937821105,23.719200000000058
"Asyrmatos, Athens",37.9316200676185,23.721150975535412
"Attiki, Athens",37.98648995614299,23.741039970569684
Elaionas,37.96667000000008,23.669400000000053
Ellinoroson,37.99793000000005,23.775160000000028
Erythros Stavros,37.99268103211144,23.767639433993164
"Evangelismos, Athens",37.977150047752296,23.747729973310978
Exarcheia,37.988170000000025,23.733610000000056
"Gazi, Athens",37.97872000000007,23.714260000000024
"Girokomeio, Athens",37.99711000000008,23.76406000000003
Goudi,37.982920000000036,23.770980000000066
"Gouva, Athens",37.96002995614295,23.740770069392383
Gyzi,38.0204746539529,23.845249735730313
"Ilisia, Athens",37.976410000000044,23.755570000000034
Kallimarmaro,37.96691000000004,23.74022000000008
"Kallimarmaro, Athens",37.96691000000004,23.74022000000008
Kerameikos,37.979190000000074,23.719200000000058
Kolokynthou,37.99676000000005,23.706090000000074
Kolonaki,37.97762000000006,23.74359000000004
Kolonos,37.993340000000046,23.71637000000004
Koukaki,37.96372000000008,23.72353000000004
Kountouriotika,37.98856257857937,23.735318969152278
Kynosargous,38.023996499999996,23.673818250000004
Kypriadou,37.993974816905286,23.74504052719049
"Kypseli, Athens",38.003280000000075,23.74060000000003
"Makrygianni, Athens",37.96807000000007,23.726870000000076
Metaxourgeio,37.983040000000074,23.718690000000038
"Mets, Athens",37.965220000000045,23.735810000000072
Monastiraki,37.975220000000036,23.72756000000004
Mount Lycabettus,37.97798005107051,23.736520018321915
Nea Filothei,37.99682000000007,23.76311000000004
"Neapoli, Athens",37.98678000000007,23.741480000000024
"Neos Kosmos, Athens",37.96142000000003,23.728710000000035
"Omonoia, Athens",37.98709000000008,23.726720000000057
Pangrati,37.96973000000003,23.747300000000052
Patisia,38.02019000000007,23.735610000000065
Pedion tou Areos,37.995420000000024,23.740740000000073
Petralona,37.96948000000003,23.70897000000008
Philopappou,37.964824802135155,23.719320634172554
Plaka,37.973520000000065,23.72915000000006
"Polygono, Athens",38.002620000000036,23.751310000000046
Probonas,37.97614000000004,23.73640000000006
"Profitis Daniil, Athens",37.98461000000003,23.71162000000004
"Profitis Ilias, Athens",38.02833000000004,23.748320000000035
Psyri,37.97876000000008,23.72667000000007
Rizoupoli,38.02900000000005,23.738770000000045
"Rouf, Athens",37.976830000000064,23.70989000000003
Sepolia,38.004770000000065,23.717940000000056
Skouze Hill,37.97729608381429,23.728681573701458
Thiseio,37.97481000000005,23.71592000000004
Thymarakia,37.97948000000008,23.643680000000074
Treis Gefyres,37.97614000000004,23.73640000000006
"Vathi, Athens",37.987030145991206,23.726162271180094
Votanikos,37.982830000000035,23.70043000000004
Template:Neighbourhoods in Athens,37.97614000000004,23.73640000000006
